lambda_reg,lambda_pair,margin_scale,gamma,beta,noise_std,alpha,encoder_lr,feature_predictor_lr,cost_predictor_lr,use_feature,mean_reg_r2,std_reg_r2,mean_rank_r2,std_rank_r2
0.01,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.4565,0.0,0.7853,0.0056
0.01,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.438,0.0,0.7771,0.0027
0.01,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.4579,0.0,0.7788,0.0052
0.01,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4373,0.0,0.7785,0.0014
0.01,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.4281,0.0,0.7779,0.0021
0.01,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4541,0.0,0.7833,0.0047
0.01,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4783,0.0,0.7833,0.0014
0.01,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.4758,0.0,0.7845,0.006
0.01,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.4759,0.0,0.7893,0.0002
0.01,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4405,0.0,0.7852,0.0038
0.01,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.5011,0.0,0.7901,0.0031
0.01,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.4311,0.0,0.7827,0.0007
0.01,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.4715,0.0,0.7862,0.0101
0.01,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.4443,0.0,0.793,0.0002
0.01,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.4343,0.0,0.7924,0.0031
0.01,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.3895,0.0,0.793,0.004
0.01,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.442,0.0,0.7851,0.0083
0.01,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.402,0.0,0.7777,0.0043
0.01,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.4537,0.0,0.7917,0.0039
0.01,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4304,0.0,0.7837,0.0014
0.01,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.4261,0.0,0.7846,0.0112
0.01,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4694,0.0,0.7808,0.0107
0.01,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4561,0.0,0.7886,0.006
0.01,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.4423,0.0,0.7777,0.006
0.01,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.4657,0.0,0.7853,0.0061
0.01,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4497,0.0,0.7827,0.0024
0.01,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.471,0.0,0.7913,0.0039
0.01,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3466,0.0,0.7823,0.0034
0.01,2.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.4864,0.0,0.7834,0.0034
0.01,2.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.4208,0.0,0.7822,0.004
0.01,2.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.44,0.0,0.7978,0.0013
0.01,2.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.4425,0.0,0.7938,0.0121
0.01,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.4854,0.0,0.7873,0.0033
0.01,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.487,0.0,0.7917,0.0028
0.01,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.4461,0.0,0.7804,0.0084
0.01,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4825,0.0,0.78,0.0019
0.01,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.505,0.0,0.7891,0.002
0.01,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4543,0.0,0.7915,0.0009
0.01,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4551,0.0,0.7787,0.0048
0.01,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.473,0.0,0.7854,0.0016
0.01,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.5007,0.0,0.7878,0.009
0.01,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4081,0.0,0.787,0.0025
0.01,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.4633,0.0,0.8028,0.0014
0.01,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.4774,0.0,0.7832,0.0041
0.01,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.51,0.0,0.7947,0.0028
0.01,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.4588,0.0,0.7906,0.009
0.01,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.4954,0.0,0.7869,0.0003
0.01,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.4987,0.0,0.7924,0.0024
0.01,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.4712,0.0,0.7951,0.0037
0.01,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.4646,0.0,0.7828,0.0069
0.01,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.5064,0.0,0.7938,0.0043
0.01,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.4686,0.0,0.7928,0.0064
0.01,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.479,0.0,0.7865,0.0042
0.01,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.4948,0.0,0.7905,0.0065
0.01,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.4868,0.0,0.7894,0.0147
0.01,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.5007,0.0,0.7859,0.0004
0.01,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.4691,0.0,0.7901,0.0034
0.01,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.4543,0.0,0.7776,0.0004
0.01,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.4886,0.0,0.7902,0.0139
0.01,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.5176,0.0,0.7907,0.0036
0.01,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.4937,0.0,0.7866,0.0009
0.01,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.4842,0.0,0.7971,0.0006
0.01,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.4594,0.0,0.7876,0.0009
0.01,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.4657,0.0,0.7838,0.0029
0.1,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.1311,0.0,0.7314,0.0016
0.1,2.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.0583,0.0,0.7429,0.0025
0.1,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.0484,0.0,0.7445,0.0024
0.1,2.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.1116,0.0,0.7475,0.0046
0.1,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,-0.0292,0.0,0.7472,0.0061
0.1,2.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,-0.1392,0.0,0.7432,0.0055
0.1,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.1928,0.0,0.7491,0.0057
0.1,2.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.1976,0.0,0.7436,0.008
0.1,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.1876,0.0,0.7628,0.0009
0.1,2.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.1988,0.0,0.7667,0.0078
0.1,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.2041,0.0,0.7737,0.0007
0.1,2.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3227,0.0,0.7739,0.002
0.1,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.351,0.0,0.7671,0.0131
0.1,2.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.0001,0.0,0.7724,0.0064
0.1,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.3125,0.0,0.7741,0.007
0.1,2.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.0449,0.0,0.7599,0.0077
0.1,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.1917,0.0,0.7515,0.0031
0.1,2.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.0975,0.0,0.7474,0.0038
0.1,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,-0.2485,0.0,0.7457,0.0106
0.1,2.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.0143,0.0,0.755,0.0024
0.1,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.0772,0.0,0.7399,0.0053
0.1,2.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,-0.1602,0.0,0.7465,0.0159
0.1,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.2299,0.0,0.7425,0.0009
0.1,2.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.1686,0.0,0.7495,0.0051
0.1,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.3666,0.0,0.7769,0.0054
0.1,2.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.1149,0.0,0.7661,0.0037
0.1,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.2171,0.0,0.7672,0.006
0.1,2.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.131,0.0,0.7707,0.0014
0.1,2.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.2888,0.0,0.7762,0.0008
0.1,2.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.3662,0.0,0.7666,0.0012
0.1,2.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.3609,0.0,0.7756,0.0057
0.1,2.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.009,0.0,0.7657,0.0022
0.1,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.0503,0.0,0.7361,0.0102
0.1,3.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.2487,0.0,0.7505,0.0022
0.1,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.0096,0.0,0.756,0.0124
0.1,3.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.01,0.01,True,0.2335,0.0,0.7366,0.0005
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.1555,0.0,0.7444,0.0008
0.1,3.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.2389,0.0,0.7445,0.0069
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.1884,0.0,0.7489,0.001
0.1,3.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.1823,0.0,0.7513,0.0033
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.1773,0.0,0.7684,0.0005
0.1,3.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.3759,0.0,0.7715,0.0057
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.3322,0.0,0.7725,0.0061
0.1,3.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3189,0.0,0.766,0.0043
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.2056,0.0,0.7692,0.0127
0.1,3.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.2774,0.0,0.7631,0.0011
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.1953,0.0,0.7837,0.003
0.1,3.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.3475,0.0,0.7695,0.0046
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,False,0.1072,0.0,0.7492,0.0009
0.1,3.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.01,0.01,True,0.1911,0.0,0.7533,0.0119
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,False,0.227,0.0,0.7459,0.0038
0.1,3.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.01,0.01,True,-0.0147,0.0,0.7545,0.0033
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,False,0.2239,0.0,0.7562,0.0028
0.1,3.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.01,0.01,True,0.2327,0.0,0.75,0.0023
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,False,0.1397,0.0,0.7464,0.0017
0.1,3.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.01,0.01,True,0.238,0.0,0.7627,0.0016
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,False,0.1733,0.0,0.7753,0.0013
0.1,3.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.01,0.01,True,0.3564,0.0,0.7722,0.0009
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,False,0.3475,0.0,0.771,0.0063
0.1,3.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.01,0.01,True,0.3313,0.0,0.7639,0.008
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,False,0.0914,0.0,0.7682,0.0033
0.1,3.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.01,0.01,True,0.2976,0.0,0.7779,0.0039
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,False,0.3354,0.0,0.7703,0.0021
0.1,3.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.01,0.01,True,0.328,0.0,0.7665,0.0009
